date,clicks,t,log_sales,t_squared,t_cube,t^4,mon,tue,wed,thur,fri,sat,sun
17-09-2015,129,79,4.859812404,6241,493039,38950081,0,0,0,0,1,0,0
18-09-2015,148,80,4.997212274,6400,512000,40960000,0,0,0,0,0,1,0
19-09-2015,152,81,5.023880521,6561,531441,43046721,0,0,0,0,0,0,1
20-09-2015,361,82,5.888877958,6724,551368,45212176,1,0,0,0,0,0,0
21-09-2015,489,83,6.192362489,6889,571787,47458321,0,1,0,0,0,0,0
22-09-2015,329,84,5.796057751,7056,592704,49787136,0,0,1,0,0,0,0
23-09-2015,138,85,4.927253685,7225,614125,52200625,0,0,0,1,0,0,0
24-09-2015,214,86,5.365976015,7396,636056,54700816,0,0,0,0,1,0,0
25-09-2015,169,87,5.129898715,7569,658503,57289761,0,0,0,0,0,1,0
26-09-2015,91,88,4.510859507,7744,681472,59969536,0,0,0,0,0,0,1
27-09-2015,385,89,5.953243334,7921,704969,62742241,1,0,0,0,0,0,0
28-09-2015,329,90,5.796057751,8100,729000,65610000,0,1,0,0,0,0,0
29-09-2015,227,91,5.424950017,8281,753571,68574961,0,0,1,0,0,0,0
30-09-2015,86,92,4.454347296,8464,778688,71639296,0,0,0,1,0,0,0
01-10-2015,169,93,5.129898715,8649,804357,74805201,0,0,0,0,1,0,0
02-10-2015,126,94,4.836281907,8836,830584,78074896,0,0,0,0,0,1,0
03-10-2015,245,95,5.501258211,9025,857375,81450625,0,0,0,0,0,0,1
04-10-2015,405,96,6.003887067,9216,884736,84934656,1,0,0,0,0,0,0
05-10-2015,290,97,5.669880923,9409,912673,88529281,0,1,0,0,0,0,0
06-10-2015,160,98,5.075173815,9604,941192,92236816,0,0,1,0,0,0,0
07-10-2015,96,99,4.564348191,9801,970299,96059601,0,0,0,1,0,0,0
08-10-2015,146,100,4.983606622,10000,1000000,100000000,0,0,0,0,1,0,0
09-10-2015,112,101,4.718498871,10201,1030301,104060401,0,0,0,0,0,1,0
10-10-2015,122,102,4.804021045,10404,1061208,108243216,0,0,0,0,0,0,1
11-10-2015,365,103,5.899897354,10609,1092727,112550881,1,0,0,0,0,0,0
12-10-2015,213,104,5.361292166,10816,1124864,116985856,0,1,0,0,0,0,0
13-10-2015,138,105,4.927253685,11025,1157625,121550625,0,0,1,0,0,0,0
14-10-2015,121,106,4.795790546,11236,1191016,126247696,0,0,0,1,0,0,0
15-10-2015,112,107,4.718498871,11449,1225043,131079601,0,0,0,0,1,0,0
16-10-2015,143,108,4.96284463,11664,1259712,136048896,0,0,0,0,0,1,0
17-10-2015,146,109,4.983606622,11881,1295029,141158161,0,0,0,0,0,0,1
18-10-2015,283,110,5.645446898,12100,1331000,146410000,1,0,0,0,0,0,0
19-10-2015,449,111,6.107022888,12321,1367631,151807041,0,1,0,0,0,0,0
20-10-2015,505,112,6.224558429,12544,1404928,157351936,0,0,1,0,0,0,0
21-10-2015,140,113,4.941642423,12769,1442897,163047361,0,0,0,1,0,0,0
22-10-2015,112,114,4.718498871,12996,1481544,168896016,0,0,0,0,1,0,0
23-10-2015,117,115,4.762173935,13225,1520875,174900625,0,0,0,0,0,1,0
24-10-2015,267,116,5.587248658,13456,1560896,181063936,0,0,0,0,0,0,1
25-10-2015,467,117,6.146329258,13689,1601613,187388721,1,0,0,0,0,0,0
26-10-2015,209,118,5.342334252,13924,1643032,193877776,0,1,0,0,0,0,0
27-10-2015,119,119,4.779123493,14161,1685159,200533921,0,0,1,0,0,0,0
28-10-2015,120,120,4.787491743,14400,1728000,207360000,0,0,0,1,0,0,0
29-10-2015,122,121,4.804021045,14641,1771561,214358881,0,0,0,0,1,0,0
30-10-2015,134,122,4.8978398,14884,1815848,221533456,0,0,0,0,0,1,0
31-10-2015,146,123,4.983606622,15129,1860867,228886641,0,0,0,0,0,0,1
01-11-2015,656,124,6.486160789,15376,1906624,236421376,1,0,0,0,0,0,0
02-11-2015,315,125,5.752572639,15625,1953125,244140625,0,1,0,0,0,0,0
03-11-2015,151,126,5.017279837,15876,2000376,252047376,0,0,1,0,0,0,0
04-11-2015,133,127,4.890349128,16129,2048383,260144641,0,0,0,1,0,0,0
05-11-2015,134,128,4.8978398,16384,2097152,268435456,0,0,0,0,1,0,0
06-11-2015,197,129,5.283203729,16641,2146689,276922881,0,0,0,0,0,1,0
07-11-2015,185,130,5.220355825,16900,2197000,285610000,0,0,0,0,0,0,1
08-11-2015,396,131,5.981414211,17161,2248091,294499921,1,0,0,0,0,0,0
09-11-2015,325,132,5.783825182,17424,2299968,303595776,0,1,0,0,0,0,0
10-11-2015,170,133,5.135798437,17689,2352637,312900721,0,0,1,0,0,0,0
11-11-2015,250,134,5.521460918,17956,2406104,322417936,0,0,0,1,0,0,0
12-11-2015,203,135,5.313205979,18225,2460375,332150625,0,0,0,0,1,0,0
13-11-2015,538,136,6.28785856,18496,2515456,342102016,0,0,0,0,0,1,0
14-11-2015,366,137,5.902633333,18769,2571353,352275361,0,0,0,0,0,0,1
15-11-2015,460,138,6.131226489,19044,2628072,362673936,1,0,0,0,0,0,0
16-11-2015,492,139,6.198478716,19321,2685619,373301041,0,1,0,0,0,0,0
17-11-2015,162,140,5.087596335,19600,2744000,384160000,0,0,1,0,0,0,0
18-11-2015,101,141,4.615120517,19881,2803221,395254161,0,0,0,1,0,0,0
19-11-2015,239,142,5.476463552,20164,2863288,406586896,0,0,0,0,1,0,0
20-11-2015,161,143,5.081404365,20449,2924207,418161601,0,0,0,0,0,1,0
